,Burnup,Enrichment,Cooling,Surrounding,C1,C2,C3,U235,Pu239,pu241,Gd155,CR,PuEff Mass,PuEff Mass Corrected,CIPN
cp_h_15g_2p_1y_f_v2.m,15,2,1,H2O,0.538148154,1.362191607,-51.07897693,4119.170247,2027.706045,301.0132397,0.194153546,6.18E-05,4.65446762,4.625655233,-1
cp_h_15g_2p_5y_f_v2.m,15,2,5,H2O,0.538203712,1.362708132,-51.09415091,4119.561276,2027.341105,248.1258623,0.720513571,5.95E-05,4.582627408,4.475703194,-1
cp_h_15g_2p_20y_f_v2.m,15,2,20,H2O,0.539137305,1.364142064,-51.25218418,4120.597792,2026.551379,120.2332151,1.30111723,5.52E-05,4.412134555,4.219048758,-1
cp_h_15g_2p_80y_f_v2.m,15,2,80,H2O,0.5402065,1.365397279,-51.44487157,4124.662919,2023.493128,6.628214947,1.371892139,5.21E-05,4.260712995,4.057124202,-1
cp_h_15g_3p_1y_f_v2.m,15,3,1,H2O,0.521047094,1.349346845,-47.84397938,7811.225682,2063.352827,237.5413984,0.160836928,8.94E-05,6.453895008,6.430026808,-1
cp_h_15g_3p_5y_f_v2.m,15,3,5,H2O,0.521005172,1.349202729,-47.84536666,7811.447667,2063.18091,195.7905244,0.591247244,8.74E-05,6.397146656,6.309405565,-1
cp_h_15g_3p_20y_f_v2.m,15,3,20,H2O,0.521990286,1.350967295,-47.9970098,7812.908007,2062.206688,94.87783612,1.065992854,8.27E-05,6.268645628,6.110452288,-1
cp_h_15g_3p_80y_f_v2.m,15,3,80,H2O,0.522658009,1.351803677,-48.1236938,7817.298642,2059.003865,5.230356761,1.123837478,7.96E-05,6.151848024,5.985070543,-1
cp_h_15g_4p_1y_f_v2.m,15,4,1,H2O,0.504751622,1.336309583,-44.75622543,11915.517,2069.993914,190.8355605,0.142984425,0.000121801,8.339385838,8.31816695,-1
cp_h_15g_4p_5y_f_v2.m,15,4,5,H2O,0.505489887,1.337984491,-44.8423781,11915.82991,2069.743506,157.3087677,0.519845113,0.000119481,8.303551713,8.226406698,-1
cp_h_15g_4p_20y_f_v2.m,15,4,20,H2O,0.506065176,1.338809179,-44.95755004,11917.79509,2068.995542,76.22848123,0.935512748,0.000114717,8.202231998,8.063401906,-1
cp_h_15g_4p_80y_f_v2.m,15,4,80,H2O,0.50661103,1.339634449,-45.04374794,11922.1552,2065.655919,4.201996416,0.98618965,0.00011119,8.111180386,7.964829842,-1
cp_h_15g_5p_1y_f_v2.m,15,5,1,H2O,0.491507744,1.326761198,-42.11997145,16222.30801,2061.752542,157.9325777,0.132864986,0.000156959,10.24468137,10.22496421,-1
cp_h_15g_5p_5y_f_v2.m,15,5,5,H2O,0.491588465,1.326968195,-42.14192066,16222.39032,2061.525898,130.1860995,0.477340771,0.000155016,10.20901866,10.13818129,-1
cp_h_15g_5p_20y_f_v2.m,15,5,20,H2O,0.492723244,1.328981128,-42.33765538,16223.86824,2060.922044,63.08359973,0.857327678,0.000150298,10.13863595,10.01140852,-1
cp_h_15g_5p_80y_f_v2.m,15,5,80,H2O,0.492167364,1.328369517,-42.25725582,16229.30293,2057.493922,3.477544886,0.903627046,0.000146773,10.04964663,9.915548376,-1
cp_h_30g_2p_1y_f_v2.m,30,2,1,H2O,0.544099849,1.368141687,-52.0262573,1726.142157,2353.909149,612.3730252,0.544618997,4.52E-05,4.1309159,3.195524514,-1
cp_h_30g_2p_5y_f_v2.m,30,2,5,H2O,0.544453762,1.368807225,-52.08831676,1726.49386,2353.690223,504.7770547,2.01848606,4.20E-05,3.98462878,2.907532419,-1
