Surrounding,Cooling,Enrichment,Burnup,PuEff Mass,CR,CR SD,DDA
H2O,1,2,15,4746.441855,0.000148853,2.50E-06,-1
H2O,1,2,30,4197.137582,9.42E-05,2.02E-06,-1
H2O,1,3,15,6575.804554,0.000232623,3.21E-06,-1
H2O,1,3,30,5575.136803,0.00012803,2.37E-06,-1
H2O,1,3,45,4774.850496,8.66E-05,1.95E-06,-1
H2O,1,4,15,8472.654233,0.000317781,3.75E-06,-1
H2O,1,4,30,7268.364981,0.000171878,2.72E-06,-1
H2O,1,4,45,6074.944994,0.000109425,2.17E-06,-1
H2O,1,4,60,5122.785898,7.74E-05,1.83E-06,-1
H2O,1,5,15,10344.63762,0.000430989,4.35E-06,-1
H2O,1,5,30,9069.697429,0.000229238,3.19E-06,-1
H2O,1,5,45,7660.67568,0.000138486,2.42E-06,-1
H2O,1,5,60,6631.889934,9.60E-05,2.03E-06,-1
H2O,5,2,15,4678.256514,0.000140009,2.46E-06,-1
H2O,5,2,30,4052.333414,8.54E-05,1.93E-06,-1
H2O,5,3,15,6524.980641,0.000216758,3.06E-06,-1
H2O,5,3,30,5443.248195,0.000114546,2.16E-06,-1
H2O,5,3,45,4594.019602,0.000075354,1.85E-06,-1
H2O,5,4,15,8433.994953,0.000312364,3.72E-06,-1
H2O,5,4,30,7150.842506,0.000159559,2.58E-06,-1
H2O,5,4,45,5901.621965,9.79E-05,2.04E-06,-1
H2O,5,4,60,4917.721579,6.87E-05,1.74E-06,-1
H2O,5,5,15,10313.15394,0.000417176,4.26E-06,-1
H2O,5,5,30,8967.441264,0.000217601,3.05E-06,-1
H2O,5,5,45,7494.526597,0.000130489,2.39E-06,-1
H2O,5,5,60,6414.390068,8.47E-05,1.91E-06,-1
H2O,20,2,15,4511.519152,0.000125465,2.30E-06,-1
H2O,20,2,30,3702.42076,6.71E-05,1.68E-06,-1
H2O,20,3,15,6401.80765,0.000202879,2.96E-06,-1
H2O,20,3,30,5127.670184,9.81E-05,2.07E-06,-1
H2O,20,3,45,4157.523808,5.71E-05,1.55E-06,-1
H2O,20,4,15,8338.177169,0.000288619,3.49E-06,-1
H2O,20,4,30,6870.37039,0.000143119,2.46E-06,-1
H2O,20,4,45,5478.283357,0.000078896,1.82E-06,-1
H2O,20,4,60,4421.837782,5.43E-05,1.59E-06,-1
H2O,20,5,15,10241.43656,0.000394962,4.19E-06,-1
H2O,20,5,30,8721.475561,0.000192081,2.94E-06,-1
H2O,20,5,45,7092.822121,0.00010606,2.13E-06,-1
H2O,20,5,60,5882.938376,6.49E-05,1.65E-06,-1
H2O,80,2,15,4362.909098,0.00011947,2.29E-06,-1
H2O,80,2,30,3389.557761,5.94E-05,1.62E-06,-1
H2O,80,3,15,6292.251838,0.000188634,2.85E-06,-1
H2O,80,3,30,4843.351503,8.82E-05,1.99E-06,-1
H2O,80,3,45,3766.129922,5.01E-05,1.48E-06,-1
H2O,80,4,15,8256.71207,0.000279311,3.44E-06,-1
H2O,80,4,30,6619.269942,0.00012266,2.24E-06,-1
H2O,80,4,45,5098.880564,6.60E-05,1.67E-06,-1
H2O,80,4,60,3975.940431,4.29E-05,1.39E-06,-1
H2O,80,5,15,10174.15867,0.000380001,4.10E-06,-1
H2O,80,5,30,8499.266062,0.000169388,2.69E-06,-1
H2O,80,5,45,6734.827345,9.09E-05,2.03E-06,-1
H2O,80,5,60,5405.962782,5.55E-05,1.54E-06,-1
