Surrounding,Enrichment,Burnup,Cooling,PuEff Mass,CR,CR SD,DDSI
BH2O,2,15,1,3875.03892,2.404952694,0.004809905,-1
BH2O,2,15,5,3818.01241,2.354960044,0.00470992,-1
BH2O,2,15,20,3681.14447,2.167252338,0.004334505,-1
BH2O,2,15,80,3553.818875,1.938238443,0.003876477,-1
BH2O,2,30,1,3665.660295,1.884470713,0.003768941,-1
BH2O,2,30,5,3551.239091,1.776126081,0.003552252,-1
BH2O,2,30,20,3266.282391,1.529594858,0.00305919,-1
BH2O,2,30,80,3009.852662,1.353015862,0.002706032,-1
BH2O,2,45,1,3530.753109,1.621499448,0.003242999,-1
BH2O,2,45,5,3385.064825,1.511956642,0.003023913,-1
BH2O,2,45,20,3032.028734,1.263464581,0.002526929,-1
BH2O,2,45,80,2715.494348,1.107095493,0.002214191,-1
BH2O,2,60,1,3492.815022,1.589115445,0.003178231,-1
BH2O,2,60,5,3334.567665,1.401128267,0.002802257,-1
BH2O,2,60,20,2953.201981,1.157758819,0.002315518,-1
BH2O,2,60,80,2610.628179,1,0.002,-1
BH2O,3,15,1,5138.801395,3.18575101,0.006371502,-1
BH2O,3,15,5,5095.308557,3.14822747,0.006296455,-1
BH2O,3,15,20,4988.59807,2.963170066,0.00592634,-1
BH2O,3,15,80,4886.09972,2.673642599,0.005347285,-1
BH2O,3,30,1,4651.1399,2.31873882,0.004637478,-1
BH2O,3,30,5,4536.253439,2.210036182,0.004420072,-1
BH2O,3,30,20,4275.113525,1.942464549,0.003884929,-1
BH2O,3,30,80,4037.726135,1.732537426,0.003465075,-1
BH2O,3,45,1,4153.194033,1.828088373,0.003656177,-1
BH2O,3,45,5,4007.608509,1.705532603,0.003411065,-1
BH2O,3,45,20,3652.426008,1.445709351,0.002891419,-1
BH2O,3,45,80,3333.987767,1.27087095,0.002541742,-1
BH2O,3,60,1,3882.840956,1.611180127,0.00322236,-1
BH2O,3,60,5,3717.419735,1.464077862,0.002928156,-1
BH2O,3,60,20,3318.517323,1.233489616,0.002466979,-1
BH2O,3,60,80,2961.695273,1.063229877,0.00212646,-1
BH2O,4,15,1,6478.578703,4.056961365,0.008113923,-1
BH2O,4,15,5,6442.864938,4.032599978,0.0080652,-1
BH2O,4,15,20,6359.654739,3.83176086,0.007663522,-1
BH2O,4,15,80,6275.843357,3.507853499,0.007015707,-1
BH2O,4,30,1,5869.070842,2.864596018,0.005729192,-1
BH2O,4,30,5,5769.137775,2.748289387,0.005496579,-1
BH2O,4,30,20,5529.886359,2.460822681,0.004921645,-1
BH2O,4,30,80,5314.563736,2.229520357,0.004459041,-1
BH2O,4,45,1,5101.531924,2.147121463,0.004294243,-1
BH2O,4,45,5,4956.317986,2.021150406,0.004042301,-1
BH2O,4,45,20,4606.03133,1.733771429,0.003467543,-1
BH2O,4,45,80,4291.018738,1.539809865,0.00307962,-1
BH2O,4,60,1,4446.13405,1.748010216,0.00349602,-1
BH2O,4,60,5,4279.360252,1.614878851,0.003229758,-1
BH2O,4,60,20,3876.284622,1.354211009,0.002708422,-1
BH2O,4,60,80,3515.160618,1.188075086,0.00237615,-1
BH2O,5,15,1,7849.516928,5.026916888,0.010053834,-1
BH2O,5,15,5,7816.945448,4.98520531,0.009970411,-1
BH2O,5,15,20,7746.691657,4.781726632,0.009563453,-1
BH2O,5,15,80,7676.366257,4.418563275,0.008837127,-1
BH2O,5,30,1,7192.476173,3.468357199,0.006936714,-1
BH2O,5,30,5,7102.979663,3.364691464,0.006729383,-1
BH2O,5,30,20,6889.492509,3.040467528,0.006080935,-1
BH2O,5,30,80,6690.749783,2.781506384,0.005563013,-1
BH2O,5,45,1,6275.90206,2.545025578,0.005090051,-1
BH2O,5,45,20,5795.057962,2.091554236,0.004183108,-1
BH2O,5,45,80,5490.050648,1.871202666,0.003742405,-1
BH2O,5,60,1,5610.092544,2.007215317,0.004014431,-1
BH2O,5,60,5,5426.145994,1.85914211,0.003718284,-1
BH2O,5,60,20,4981.939702,1.563823034,0.003127646,-1
BH2O,5,60,80,4583.318709,1.360559575,0.002721119,-1
