filename,id,DN,Surrounding,Cooling,full,Enrichment,Burnup,241Pu Mass,Bkg Count (700s),DN Theor. Uncert. (150+700),DN + Bkg MCNPX Uncert (300+1400),FC for each DN ,Source Adj. DN Ct.  (0-300s),Bkg Count (1400s.),Final DN ct. rate,244Cm Mass,DN Theor. Uncert. (300+1400),N (235U Mass),Nu bar,DN Ct. (200-300s),Bkg Count (150s),N (241Pu Mass),Bkg MCNPX Uncert,DN / Fission (%),238Pu Mass,DN + Bkg Theor. Uncert. (300+1400),Bkd Theor. Uncert. (700s) ,242Cm Yield,DN + Bkg Theor. Uncert. (150+700),CR,N (239Pu Mass),DN MCNPX Uncert. (300+1400),% Difference,FC mike,241Am Mass,DN Ct. (0-700s),FC with Mult., Prompt Neutron Source,242Pu Mass,Bkg MCNPX Uncert. (700s),DN + Bkg Ct. (150+700),Mult ^ q,240Pu Mass,DN Ct.  (0-300s),241Am Yield,Net Mult,#,MCNPX Uncert.,Net Mult.,MCNPX Uncert ,Theor. Uncert.,DN Count Rate w/ Mult.^2,Fission XC,240Pu Yield,Present FC,DN + Bkg MCNPX Uncert (150+700),PuEff Mass,242Pu Yield,238Pu Yield,FC w/ mult^2,Bkg MCNPX Uncert. (1400s),238U Mass,DN + Bkg Ct. (300+1400),239Pu Mass,Bkg Tally,242Cm Mass,244Cm Yield,DN Signal,q,Bkg Theor. Uncert. (1400s),Fissile Content,DN MCNPX Uncert. (150+700),235U Mass
/Users/jlconlin/Documents/PNAR/Light/PolySleeve/RBFMonteCarlo/Data/DN_H2O_15GWd_2pct_1yr_full.o,H2O_15GWd_2pct_1yr,-1,H2O,1,-1,2,15,299.4,6280000,3880,89800,2860,2480000,12600000,16500,1.27,27400,1.05E+25,2.8,240000000,1340000,7.48E+23,0.003,0,12.11,27200,2510,5150000,2960,16500,5.08E+24,121000,0,14.1,18.87,723000000,410.36,19600000,67.68,18800,3820000,3.1,623.6,687000000,22.27,2.24,1,41100,2.24,81500,26900,5329.79,1.01E-21,636000,132.5,72900,133,116000,31400,666.14,37700,454500,736000000,2017,0.000456,0.245,13700000,2475970.9,1.4,3540,12.1,75200,4098
/Users/jlconlin/Documents/PNAR/Light/PolySleeve/RBFMonteCarlo/Data/DN_H2O_15GWd_2pct_5yr_full.o,H2O_15GWd_2pct_5yr,-1,H2O,5,-1,2,15,246.8,3940000,3200,80800,2780,2350000,7890000,15700,1.09,26500,1.05E+25,2.8,228000000,845000,6.16E+23,0.003,0,11.97,26400,1990,11500,2510,15700,5.08E+24,112000,0,16.9,71.18,687000000,391.4,12600000,67.68,11800,3200000,3,623.5,652000000,83.99,2.19,2,39000,2.19,77300,26200,5217.8,1.01E-21,636000,130.36,67800,130,116000,31000,626.99,23700,454500,694000000,2016,0.000448,0.000549,11800000,2349961.44,1.4,2810,9.99,68800,4098
/Users/jlconlin/Documents/PNAR/Light/PolySleeve/RBFMonteCarlo/Data/DN_H2O_15GWd_2pct_20yr_full.o,H2O_15GWd_2pct_20yr,-1,H2O,20,-1,2,15,119.6,2210000,2560,70500,2640,2120000,4430000,14100,0.61,25100,1.05E+25,2.8,205000000,475000,2.99E+23,0.0025,0,10.63,25000,1490,44.4,2080,14100,5.08E+24,99100,0,33.7,195,618000000,353.38,7410000,67.68,5540,2590000,2.82,623,587000000,230.1,2.1,3,35100,2.1,69600,24900,4997.25,1.01E-21,635000,125.23,60400,125,116000,27500,551.23,11100,454500,622000000,2016,0.000427,2.12E-06,6630000,2115193.08,1.4,2100,4.84,60600,4099
/Users/jlconlin/Documents/PNAR/Light/PolySleeve/RBFMonteCarlo/Data/DN_H2O_15GWd_2pct_80yr_full.o,H2O_15GWd_2pct_80yr,-1,H2O,80,-1,2,15,6.59,416000,1670,63900,2530,1940000,832000,13000,0.06,23900,1.05E+25,2.8,189000000,89100,1.65E+22,0.0026,0,6.62,23900,645,0,1540,13000,5.07E+24,90400,0,594,282.6,568000000,325.78,1430000,67.67,1080,2030000,2.7,619.6,539000000,333.47,2.03,4,32200,2.03,63900,23900,4800.89,1.01E-21,632000,120.68,55200,121,116000,17200,498.6,2160,454500,569000000,2012,0.000415,0,666000,1943950.74,1.4,912,0.267,55200,4102
/Users/jlconlin/Documents/PNAR/Light/PolySleeve/RBFMonteCarlo/Data/DN_H2O_15GWd_3pct_1yr_full.o,H2O_15GWd_3pct_1yr,-1,H2O,1,-1,3,15,236.3,3470000,3370,150000,3820,4410000,6950000,29400,0.48,36100,1.99E+25,2.8,428000000,744000,5.90E+23,0.0029,0,9.68,36000,1860,3020000,2810,29400,5.17E+24,212000,0,17.3,14.93,1290000000,922.34,8750000,36.79,10100,5150000,4.24,483,1220000000,17.62,2.81,5,75200,2.81,149000,36000,6926.72,1.01E-21,493000,217.49,129000,217,63300,25100,1713.16,20100,450800,1300000000,2052,0.000567,0.144,5150000,4406277.12,1.4,2640,9.57,130000,7772
/Users/jlconlin/Documents/PNAR/Light/PolySleeve/RBFMonteCarlo/Data/DN_H2O_15GWd_3pct_5yr_full.o,H2O_15GWd_3pct_5yr,-1,H2O,5,-1,3,15,194.8,1950000,2850,143000,3740,4220000,3890000,28200,0.41,35300,1.99E+25,2.8,410000000,417000,4.87E+23,0.0029,0,9.52,35300,1400,7050,2480,28200,5.17E+24,202000,0,20.9,56.21,1230000000,890.61,5000000,36.79,5650,4640000,4.13,482.9,1170000000,66.33,2.75,6,72000,2.75,143000,35200,6824.31,1.01E-21,493000,215.81,124000,216,63300,24700,1635.02,11300,450800,1240000000,2052,0.000556,0.000336,4420000,4224433.03,1.4,1970,7.89,124000,7772
/Users/jlconlin/Documents/PNAR/Light/PolySleeve/RBFMonteCarlo/Data/DN_H2O_15GWd_3pct_20yr_full.o,H2O_15GWd_3pct_20yr,-1,H2O,20,-1,3,15,94.37,1150000,2490,131000,3600,3910000,2300000,26100,0.23,33900,1.99E+25,2.8,380000000,247000,2.36E+23,0.0029,0,8.46,33900,1070,32,2250,26100,5.17E+24,186000,0,42.2,153.9,1140000000,827.26,3060000,36.78,3340,4160000,3.91,482.3,1090000000,181.6,2.65,7,66200,2.65,131000,33900,6675.86,1.01E-21,492000,211.75,113000,212,63300,21900,1483.46,6670,450800,1150000000,2051,0.000537,1.53E-06,2490000,3912084.11,1.4,1520,3.82,113000,7773
/Users/jlconlin/Documents/PNAR/Light/PolySleeve/RBFMonteCarlo/Data/DN_H2O_15GWd_3pct_80yr_full.o,H2O_15GWd_3pct_80yr,-1,H2O,80,-1,3,15,5.2,298000,2070,119000,3490,3670000,597000,24500,0.02,32800,1.99E+25,2.8,357000000,64000,1.30E+22,0.001,0,5.27,32800,546,0,1990,24500,5.16E+24,168000,0,752,223.1,1070000000,782.67,816000,36.78,298,3740000,3.76,479.5,1020000000,263.26,2.58,8,59900,2.58,119000,32800,6513.78,1.01E-21,489000,208.18,102000,208,63300,13600,1380.59,597,450800,1070000000,2048,0.000523,0,250000,3673329.39,1.4,773,0.211,102000,7776
/Users/jlconlin/Documents/PNAR/Light/PolySleeve/RBFMonteCarlo/Data/DN_H2O_15GWd_4pct_1yr_full.o,H2O_15GWd_4pct_1yr,-1,H2O,1,-1,4,15,189.8,2310000,3410,264000,4840,7040000,4610000,46900,0.22,45500,3.04E+25,2.8,684000000,494000,4.74E+23,0.0028,0,8.08,45500,1520,1960000,3060,46900,5.19E+24,373000,0,21.3,12.02,2060000000,1793.14,4800000,22.27,6460,7530000,5.74,391.7,1950000000,14.18,3.48,9,133000,3.48,263000,45400,8179.19,1.01E-21,400000,312.65,228000,313,38300,20900,3790.63,12900,446700,2060000000,2059,0.000687,0.0934,2370000,7036583.26,1.4,2150,7.68,228000,11860
/Users/jlconlin/Documents/PNAR/Light/PolySleeve/RBFMonteCarlo/Data/DN_H2O_15GWd_4pct_5yr_full.o,H2O_15GWd_4pct_5yr,-1,H2O,5,-1,4,15,156.5,1190000,3030,254000,4760,6810000,2370000,45400,0.19,44800,3.04E+25,2.8,661000000,254000,3.91E+23,0.0028,0,7.92,44700,1090,4760,2830,45400,5.19E+24,360000,0,25.7,45.19,1990000000,1741.56,2500000,22.27,3320,7060000,5.59,391.6,1890000000,53.32,3.42,10,128000,3.42,254000,44700,8115.21,1.01E-21,399000,311.3,220000,311,38300,20500,3642.57,6640,446700,1990000000,2059,0.000678,0.000227,2040000,6810077.44,1.4,1540,6.34,220000,11860
