Surrounding,Enrichment,Burnup,Cooling,Pu239 Mass,(Gd-Cd),(Gd-Cd) SD,(Gd+Hf-Cd),(Gd+Hf-Cd) SD,NORM (Gd-Cd),NORM (Gd-Cd) SD,NORM (Gd+Hf-Cd),NORM (Gd+Hf-Cd) SD,U235 Mass,Gd/Bare,Gd/Bare SD,NORM Gd/Bare,NORM Gd/Bare SD,SINRD
BH2O,2,15,5,2027.34,3.81,0.0179,14.453,0.163,1.2931,0.0082,1.3529,0.0199,4119.56,1.303,0.0067,0.9426,0.0066,-1
BH2O,2,30,5,2353.69,4.06,0.0062,15.464,0.0574,1.377,0.0063,1.4475,0.0147,1726.49,1.2672,0.0021,0.9167,0.0047,-1
BH2O,2,45,5,2445.6,4.19,0.0032,16.066,0.03006,1.4229,0.0062,1.5038,0.0145,681.72,1.2671,0.001,0.9166,0.0045,-1
BH2O,2,60,5,2495.65,4.29,0.0022,16.638,0.02115,1.456,0.0063,1.5574,0.0148,258.62,1.271,0.0007,0.9195,0.0045,-1
BH2O,3,15,5,2063.18,3.99,0.0243,15.368,0.22938,1.2494,0.0092,1.3162,0.0232,7811.45,1.3778,0.0093,0.9262,0.0076,-1
BH2O,3,30,5,2524.61,4.22,0.0091,16.16,0.08562,1.3202,0.0062,1.3841,0.0149,4049.2,1.3261,0.0031,0.8915,0.0047,-1
BH2O,3,45,5,2610.45,4.3,0.0042,16.767,0.04104,1.3466,0.0058,1.436,0.0139,1906.27,1.3089,0.0014,0.8799,0.0043,-1
BH2O,3,60,5,2623.59,4.38,0.0027,17.12,0.0262,1.3714,0.0058,1.4662,0.0139,856.29,1.2882,0.0008,0.866,0.0042,-1
BH2O,4,15,5,2069.8,4.21,0.0262,16.162,0.24852,1.2198,0.0091,1.261,0.0228,11916.12,1.4442,0.01,0.9303,0.0078,-1
BH2O,4,30,5,2686.3,4.42,0.0128,17.246,0.12598,1.2813,0.0064,1.3455,0.0161,7150.39,1.3903,0.0044,0.8956,0.0051,-1
BH2O,4,45,5,2817.03,4.48,0.0056,17.592,0.05565,1.2994,0.0056,1.3726,0.0137,3936.25,1.3491,0.0018,0.869,0.0043,-1
BH2O,4,60,5,2778.92,4.53,0.0034,17.646,0.03305,1.3147,0.0055,1.3768,0.0133,1945.8,1.3167,0.001,0.8482,0.0041,-1
BH2O,5,15,5,2061.53,4.41,0.0259,17.258,0.25741,1.1948,0.0085,1.2525,0.0222,16222.39,1.5137,0.01,0.9378,0.0076,-1
BH2O,5,30,5,2811.35,4.62,0.0172,18.175,0.17331,1.2531,0.0069,1.319,0.0178,10730.58,1.445,0.0059,0.8953,0.0056,-1
BH2O,5,45,5,3032.25,4.74,0.0074,18.631,0.0746,1.2839,0.0056,1.3521,0.014,6633.46,1.3895,0.0023,0.8608,0.0043,-1
BH2O,5,60,5,3126.66,4.81,0.0041,19.185,0.04291,1.3038,0.0054,1.3923,0.0137,3871.73,1.3616,0.0013,0.8436,0.004,-1
